id,city_id,name,marker,coordinates,cable_id
ardneil-bay-united-kingdom,15845,"Ardneil Bay, United Kingdom",measle_white,"<Point><coordinates>-4.889371,55.693049</coordinates></Point>",1827
port-askaig-united-kingdom,15846,"Port Askaig, United Kingdom",measle_white,"<Point><coordinates>-6.106314,55.847737</coordinates></Point>",1827
feolin-ferry-united-kingdom,15847,"Feolin Ferry, United Kingdom",measle_white,"<Point><coordinates>-6.089908,55.846760,0</coordinates></Point>",1827
lavagulin-united-kingdom,15848,"Lavagulin, United Kingdom",measle_white,"<Point><coordinates>-6.125406,55.636116</coordinates></Point>",1827
glenbarr-united-kingdom,15849,"Glenbarr, United Kingdom",measle_white,"<Point><coordinates>-5.697574,55.565510,0</coordinates></Point>",1827
craighouse-united-kingdom,15850,"Craighouse, United Kingdom",measle_white,"<Point><coordinates>-5.953824,55.833674</coordinates></Point>",1827
ormsary-united-kingdom,15851,"Ormsary, United Kingdom",measle_white,"<Point><coordinates>-5.614566,55.891682</coordinates></Point>",1827
kilchoan-ferry-united-kingdom,15852,"Kilchoan Ferry, United Kingdom",measle_white,"<Point><coordinates>-6.093960,56.688557,0</coordinates></Point>",1827
tobermory-united-kingdom,15853,"Tobermory, United Kingdom",measle_white,"<Point><coordinates>-6.070279,56.621858</coordinates></Point>",1827
duart-bay-united-kingdom,15854,"Duart Bay, United Kingdom",measle_white,"<Point><coordinates>-5.669351,56.455842</coordinates></Point>",1827
ganavan-bay-united-kingdom,15855,"Ganavan Bay, United Kingdom",measle_white,"<Point><coordinates>-5.475797,56.437776</coordinates></Point>",1827
corran-united-kingdom,15856,"Corran, United Kingdom",measle_white,"<Point><coordinates>-5.245377,56.722541</coordinates></Point>",1827
ardmair-united-kingdom,15857,"Ardmair, United Kingdom",measle_white,"<Point><coordinates>-5.196207,57.934064</coordinates></Point>",1827
branahuie-bay-united-kingdom,15858,"Branahuie Bay, United Kingdom",measle_white,"<Point><coordinates>-6.310757,58.209064</coordinates></Point>",1827
leverburgh-united-kingdom,15859,"Leverburgh, United Kingdom",measle_white,"<Point><coordinates>-7.008364,57.769416</coordinates></Point>",1827
lochmaddy-united-kingdom,15860,"Lochmaddy, United Kingdom",measle_white,"<Point><coordinates>-7.163345,57.603693</coordinates></Point>",1827
dunvegan-united-kingdom,15861,"Dunvegan, United Kingdom",measle_white,"<Point><coordinates>-6.581655,57.436310,0</coordinates></Point>",1827
sandwick-village-united-kingdom,15862,"Sandwick Village, United Kingdom",measle_white,"<Point><coordinates>-7.274136,57.366681</coordinates></Point>",1827
ardvasar-united-kingdom,15863,"Ardvasar, United Kingdom",measle_white,"<Point><coordinates>-5.906460,57.059357,0</coordinates></Point>",1827
mallaigvaig-united-kingdom,15864,"Mallaigvaig, United Kingdom",measle_white,"<Point><coordinates>-5.820425,57.008479</coordinates></Point>",1827
scarinish-united-kingdom,15865,"Scarinish, United Kingdom",measle_white,"<Point><coordinates>-6.808511,56.503791</coordinates></Point>",1827
calgary-united-kingdom,15866,"Calgary, United Kingdom",measle_white,"<Point><coordinates>-6.272378,56.582112</coordinates></Point>",1827
ludag-united-kingdom,15867,"Ludag, United Kingdom",measle_white,"<Point><coordinates>-7.328139,57.105549</coordinates></Point>",1827
balla-united-kingdom,15868,"Balla, United Kingdom",measle_white,"<Point><coordinates>-7.312173,57.081525</coordinates></Point>",1827
north-bay-united-kingdom,15869,"North Bay, United Kingdom",measle_white,"<Point><coordinates>-7.449477,57.025275</coordinates></Point>",1827
bay-of-tuquoy-united-kingdom,15870,"Bay of Tuquoy, United Kingdom",measle_white,"<Point><coordinates>-2.939519,59.279767</coordinates></Point>",1827
aikerness-united-kingdom,15871,"Aikerness , United Kingdom",measle_white,"<Point><coordinates>-2.959147,59.350470,0</coordinates></Point>",1827
portachur-point-united-kingdom,15872,"Portachur Point, United Kingdom",measle_white,"<Point><coordinates>-4.943863,55.742756</coordinates></Point>",1827
coilleag-united-kingdom,15873,"Coilleag, United Kingdom",measle_white,"<Point><coordinates>-7.302212,57.073615</coordinates></Point>",1827
ardbeg-point-united-kingdom,15874,"Ardbeg Point, United Kingdom",measle_white,"<Point><coordinates>-5.063590,55.858577,0</coordinates></Point>",1827
ardyne-point-united-kingdom,15875,"Ardyne Point, United Kingdom",measle_white,"<Point><coordinates>-5.019986,55.869417</coordinates></Point>",1827
ardgour-united-kingdom,15876,"Ardgour, United Kingdom",measle_white,"<Point><coordinates>-5.233658,56.721565</coordinates></Point>",1827
raglan-new-zealand,15884,"Raglan, New Zealand",measle_white,"<Point><coordinates>174.871774,-37.801437</coordinates></Point>",1750
ola-russia,15834,"Ola, Russia",measle_white,"<Point><coordinates>151.283308,59.583380,0</coordinates></Point>",1825
okha-russia,15833,"Okha, Russia",measle_white,"<Point><coordinates>142.942492,53.577523</coordinates></Point>",1825
ust-bolsheretsk-russia,15832,"Ust-Bolsheretsk, Russia",measle_white,"<Point><coordinates>156.287017,52.812387</coordinates></Point>",1825
porthcressa-beach-united-kingdom,15836,"Porthcressa Beach, United Kingdom",measle_white,"<Point><coordinates>-6.308169,49.919908</coordinates></Point>",1826
mogadishu-somalia,4255,"Mogadishu, Somalia",measle_white,"<Point><coordinates>45.344199,2.041220,0</coordinates></Point>",1246
rayong-thailand,10985,"Rayong, Thailand",measle_white,"<Point><coordinates>101.277375,12.670609</coordinates></Point>",1776
